cluster_probs
"[0.0, 1.133306685090741e-33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6870159273735688e-29, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.206019140479295e-21, 0.0, 0.0, 0.0, 0.0]"
"[0.0, 1.6805936642327879e-09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3002082823732053e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.802596928649634e-45, 0.9999987483024597, 0.0, 0.0, 5.715449002963169e-09, 0.0]"
"[0.0, 4.245726614726664e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00014115848171059042, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.688050478813866e-44, 0.9998586773872375, 0.0, 0.0, 1.8075331809086492e-07, 0.0]"
"[0.0, 3.424239592690989e-25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.4079677046280145e-32, 0.0, 0.0, 0.0, 0.0, 0.0, 3.48866028963169e-18, 0.0, 0.0, 1.2077511383688937e-35, 0.0]"
"[0.0, 1.636823476758309e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.994706928730011, 0.0, 0.0, 0.0, 5.932641148852252e-27, 0.0, 0.0, 0.0, 0.0, 2.1307303669444573e-40, 0.005292933899909258, 0.0, 0.0, 4.7150880533308737e-08, 0.0]"
"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7433358682383695e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.590882120175803e-35, 1.639042650216387e-33, 0.0, 0.0, 3.25009675819305e-29, 0.0]"
"[0.0, 3.553591340459128e-13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9952621459960938, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004737939685583115, 0.0, 0.0, 3.7146961938752665e-13, 0.0]"
"[0.0, 8.380281428799208e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.954913937486708e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.811845498514178e-41, 0.9999895095825195, 0.0, 0.0, 7.991853863131837e-07, 0.0]"
"[0.0, 4.590704986290328e-13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706158878017432e-15, 1.2661664060383272e-35, 0.0, 0.0, 9.824503533381292e-42, 0.0, 0.0, 0.0, 0.0, 0.0, 1.418209842098117e-12, 0.0, 0.0, 1.0, 0.0]"
"[0.0, 4.1679058875125065e-23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.353794333036152e-23, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.71211671414765e-17, 0.0, 0.0, 1.6916475061329192e-41, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 9.085871912717543e-33, 1.3603799999203418e-26, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[0.0, 0.0011124972952529788, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1755519153666683e-05, 0.0, 0.0, 0.0, 7.58102469199726e-43, 0.0, 0.0, 0.0, 0.0, 3.107439152865887e-33, 0.9986737370491028, 0.0, 0.0, 0.00020208742353133857, 0.0]"
"[0.0, 0.0, 0.0, 3.0038609945791384e-13, 0.0, 0.0, 1.401298464324817e-45, 0.0, 1.0, 2.86743801208102e-34, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.549751614490454e-12, 2.3026340556508984e-10, 0.0, 0.0, 0.0, 9.80908925027372e-45, 0.0, 0.0, 0.0]"
"[0.0, 7.273981383781827e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.483903774474499e-11, 0.0, 4.900761119283183e-41, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.227000429582065e-19, 0.0]"
"[0.0, 3.107668078428105e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000659417943097651, 0.0, 1.4511719378387552e-38, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9993404746055603, 0.0, 0.0, 7.136133017837665e-09, 0.0]"
"[0.0, 0.999998152256012, 0.0, 0.0, 0.0, 0.0, 9.80908925027372e-45, 0.0, 0.0, 0.0, 5.899502315430318e-15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.25704383740528e-24, 1.460608558545573e-07, 0.0, 0.0, 1.6398627167291124e-06, 0.0]"
"[0.0, 0.9999990463256836, 0.0, 0.0, 0.0, 0.0, 1.961817850054744e-44, 0.0, 0.0, 0.0, 7.693252976402436e-16, 1.401298464324817e-45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4634128676040592e-23, 2.2399156307528756e-08, 0.0, 0.0, 5.767719244431646e-07, 0.0]"
"[0.0, 0.9999990463256836, 0.0, 0.0, 0.0, 0.0, 1.8216880036222622e-44, 0.0, 0.0, 0.0, 1.8311535183404993e-15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.132048609316097e-24, 5.072435627084815e-08, 0.0, 0.0, 6.484821142294095e-07, 0.0]"
"[0.0, 0.9999990463256836, 0.0, 0.0, 0.0, 0.0, 4.344025239406933e-44, 0.0, 0.0, 0.0, 7.213040881846411e-16, 1.401298464324817e-45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.442718993941511e-23, 1.9786499549923064e-08, 0.0, 0.0, 6.574089184141485e-07, 0.0]"
"[0.0, 0.9993756413459778, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.243499109994445e-07, 9.764247699415325e-42, 0.0, 0.0, 3.146866534066491e-39, 0.0, 0.0, 0.0, 0.0, 1.056579042100912e-42, 2.926839673400572e-11, 0.0, 0.0, 0.0006235297187231481, 0.0]"
"[0.0, 0.9999913573265076, 0.0, 0.0, 0.0, 0.0, 2.2560905275629555e-43, 0.0, 0.0, 0.0, 2.9118995846429694e-15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.602552627023402e-23, 3.375646073777716e-08, 0.0, 0.0, 8.246923243859783e-06, 0.0]"
"[0.0, 2.3280588905717936e-24, 0.0, 0.0, 0.0, 0.0, 2.802596928649634e-45, 0.0, 0.0, 0.0, 2.5277909377219993e-14, 0.0, 6.445972935894159e-44, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.73947742351323e-23, 0.0]"
"[0.0, 9.811245080182809e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999983906745911, 0.0, 0.0, 0.0, 3.84390321878787e-39, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4914453458914068e-06, 0.0, 0.0, 3.510997888483378e-17, 0.0]"
"[0.0, 2.270031031801596e-23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.6677022638605117e-13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 9.275837362348096e-23, 0.0]"
"[0.0, 9.202388895346303e-08, 0.0, 0.0, 0.0, 0.0, 6.666121991734834e-36, 0.0, 0.0, 0.0, 8.414138136236815e-11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.295706717692301e-22, 0.9999712705612183, 0.0, 0.0, 2.8671329346252605e-05, 0.0]"
